cik,ticker,label,subset,Fiscal Period,Cost of Goods Sold,Depreciation Depletion Amortization,EBIT,EBITDA,Gross Profit,Long-Term Debt,Market Cap,Net Income,Retained Earnings,Revenue,Total Assets,Total Current Assets,Total Current Liabilities,Total Inventories,Total Liabilities,Total Operating Expense,Total Receivables
103096,TRR,False,train,Jun 2012,246.5,5.5,30.0,35.5,56.2,3.9,171.0,33.6,-113.7,302.7,275.1,154.0,117.6,77.1,207.3,26.2,96.2
103096,TRR,False,train,Jun 2013,268.5,6.9,18.6,25.5,56.6,0.6,203.3,36.3,-77.4,325.2,307.8,185.3,123.7,77.1,201.2,38.0,110.8
103096,TRR,False,train,Jun 2014,312.1,8.8,20.9,29.7,60.8,0.1,185.0,12.1,-65.4,372.9,335.6,221.0,132.2,77.1,211.1,39.9,160.0
103096,TRR,False,train,Jun 2015,337.3,9.3,30.7,40.0,77.4,0.1,309.4,19.4,-45.9,414.6,362.9,234.3,144.2,77.1,215.4,46.6,179.7
103096,TRR,False,train,Jun 2016,402.3,14.7,2.2,16.9,79.0,79.2,196.4,0.0,-45.9,481.3,478.5,248.2,178.4,77.1,325.1,77.7,199.3
752642,UMH,False,train,Dec 2016,49.1,23.2,27.0,50.2,50.1,351.3,442.3,11.5,-0.7,99.2,680.4,150.7,7.8,17.4,363.4,34.1,20.3
752642,UMH,False,train,Dec 2017,56.3,27.6,28.5,56.1,56.3,389.6,528.8,12.7,-0.7,112.6,823.9,199.2,7.9,17.6,402.7,40.3,25.5
752642,UMH,False,train,Dec 2018,64.7,31.7,-20.2,11.5,64.9,439.1,453.7,-36.2,-25.4,129.6,880.9,162.2,11.3,23.7,456.2,46.3,31.5
752642,UMH,False,train,Dec 2019,74.6,36.8,45.6,82.4,71.9,457.3,647.0,27.8,-25.4,146.6,1025.5,199.1,15.1,32.0,479.1,51.9,38.0
752642,UMH,False,train,Dec 2020,77.6,41.7,23.3,65.0,86.0,558.5,620.8,5.1,-25.4,163.6,1089.4,190.4,21.7,25.4,587.6,57.7,46.4
846930,DQE,False,train,Dec 2002,394.0,87.0,185.0,273.0,509.0,978.0,65.91,176.0,553.0,903.0,2541.0,184.0,279.0,17.0,1895.0,358.0,115.0
846930,DQE,False,train,Dec 2003,394.0,87.0,185.0,273.0,509.0,978.0,65.91,176.0,553.0,903.0,2541.0,184.0,279.0,17.0,1895.0,358.0,115.0
846930,DQE,False,train,Dec 2004,382.0,83.0,163.0,247.0,515.0,958.0,65.91,87.0,564.0,897.0,2633.0,221.0,210.0,15.0,1876.0,365.0,116.0
846930,DQE,False,train,Dec 2005,367.0,82.0,218.0,301.0,555.0,958.0,65.91,114.0,600.0,922.0,2821.0,294.0,319.0,18.0,2017.0,377.0,114.0
846930,DQE,False,train,Dec 2006,436.0,81.0,100.0,181.0,466.0,1202.0,65.91,55.0,572.0,902.0,3147.0,312.0,277.0,21.0,2304.0,367.0,119.0
354190,AJG,False,train,Dec 2016,4078.0,351.0,443.0,794.0,1603.0,2145.0,9264.0,397.0,916.0,5681.0,11490.0,4416.0,4612.0,371.0,7834.0,1127.0,2159.0
354190,AJG,False,train,Dec 2017,4519.0,386.0,484.0,870.0,1726.0,2692.0,11454.0,481.0,1222.0,6246.0,14910.0,7269.0,6730.0,371.0,10610.0,1215.0,4484.0
354190,AJG,False,train,Dec 2018,4984.0,419.0,618.0,1037.0,1940.0,3091.0,13561.0,634.0,1559.0,6924.0,16334.0,8119.0,7694.0,371.0,11764.0,1323.0,5366.0
354190,AJG,False,train,Dec 2019,4831.0,474.0,806.0,1280.0,2289.0,3816.0,17913.0,669.0,1901.0,7120.0,19635.0,9118.0,8921.0,371.0,14419.0,1543.0,5892.0
